2020-05-05 18:00:13 Tue , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-05 18:00:23 Tue , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-05 18:30:13 Tue , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-05 18:30:23 Tue , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 08:00:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 08:00:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 08:00:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 08:00:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 08:30:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 09:00:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 09:30:12 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 10:00:12 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 10:00:22 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 10:00:22 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 10:00:23 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 10:30:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 10:30:12 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 10:30:23 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 11:00:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 11:00:23 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 11:30:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 11:30:12 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 11:30:22 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 12:00:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 12:00:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 12:30:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 13:00:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 13:30:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 13:30:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 13:30:13 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 14:00:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 14:00:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 14:30:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 15:00:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 15:30:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 16:00:12 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 16:30:12 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 17:00:12 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 17:30:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 17:30:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 18:00:02 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 18:00:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 18:00:23 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 18:00:23 Wed , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-06 18:30:13 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-06 18:30:23 Wed , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 08:00:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 08:00:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 08:30:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 08:30:13 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 09:00:13 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 09:30:13 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 10:00:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 10:00:03 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 10:00:13 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 10:30:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 10:30:13 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 10:30:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 11:00:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 11:00:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 11:30:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 11:30:13 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 11:30:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 12:00:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 12:00:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 12:30:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 12:30:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 13:00:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 13:30:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 14:00:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 14:30:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 14:30:12 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 14:30:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 15:00:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 15:00:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 15:00:13 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 15:30:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 15:30:12 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 15:30:13 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 16:00:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 16:00:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 16:30:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 17:00:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 17:00:02 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 17:00:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 17:00:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 17:00:23 Thu , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-07 17:30:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 17:30:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 18:00:12 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 18:00:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 18:30:13 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-07 18:30:23 Thu , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 08:00:02 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 08:00:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 08:00:22 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 08:00:33 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 08:30:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 08:30:23 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 09:00:13 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 09:00:23 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 09:30:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 09:30:22 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 10:00:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 10:00:22 Fri , ERROR , getNewsData.py getAllNews line 81 , error
